,mes_TestID,exam_number,exam_numname,mes_sub_id,mes_sub_name,exam_term,exam_type,exam_sdate,mes_StudentID,mes_Score,mes_Z_Score,mes_T_Score,mes_dengdi
32792,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14545,81.0,-0.03256337,79.73949,0.5518018
32793,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14557,68.0,-1.741252,66.06998,0.9504504999999999
32794,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14558,78.0,-0.4268760999999999,76.58499,0.6959459
32795,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14560,83.0,0.23031179999999998,81.84249,0.4391892
32796,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14573,75.0,-0.8211889000000001,73.43049,0.8153153000000001
32797,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14581,75.0,-0.8211889000000001,73.43049,0.8175676
32798,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14582,71.0,-1.3469389999999999,69.22449,0.9009009
32799,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14590,70.0,-1.478377,68.17299,0.9144144000000001
32800,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14593,84.0,0.3617494,82.89399999999999,0.4009009
32856,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14597,78.0,-0.4268760999999999,76.58499,0.6936937
32857,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14604,67.0,-1.8726900000000002,65.01849,0.9527027
32858,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14610,75.0,-0.8211889000000001,73.43049,0.8130630999999999
32859,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14624,70.0,-1.478377,68.17299,0.9166667
32860,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14628,84.0,0.3617494,82.89399999999999,0.39864859999999996
32861,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14643,73.0,-1.084064,71.32748000000001,0.8761261
32862,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14645,81.0,-0.03256337,79.73949,0.5495495
32863,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14646,65.0,-2.135565,62.91548,0.9707207
32864,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14648,77.0,-0.5583137,75.53349,0.7342342
32865,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14653,72.0,-1.215502,70.27599000000001,0.8918919
32866,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14656,81.0,-0.03256337,79.73949,0.5472973000000001
32867,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14676,82.0,0.09887422,80.79099000000001,0.5112613
32868,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14679,83.0,0.23031179999999998,81.84249,0.44144140000000004
32869,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14695,83.0,0.23031179999999998,81.84249,0.44369369999999997
32870,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14726,86.0,0.6246246,84.99699,0.2747748
32871,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14737,75.0,-0.8211889000000001,73.43049,0.8108108
32872,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14739,76.0,-0.6897513000000001,74.48199,0.7792793
32873,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14741,80.0,-0.164001,78.688,0.6148649
32874,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14749,69.0,-1.6098139999999999,67.12148,0.9301802
32875,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14758,74.0,-0.9526264999999999,72.37899,0.8490991
32876,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14769,84.0,0.3617494,82.89399999999999,0.39639640000000004
32877,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14776,76.0,-0.6897513000000001,74.48199,0.7815314999999999
32878,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14782,77.0,-0.5583137,75.53349,0.731982
32879,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14788,88.0,0.8874996999999999,87.1,0.19369370000000002
32880,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14815,83.0,0.23031179999999998,81.84249,0.4459459
32881,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14827,77.0,-0.5583137,75.53349,0.7297296999999999
32882,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14829,70.0,-1.478377,68.17299,0.9189189
32883,140141,289,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14865,80.0,-0.164001,78.688,0.6126126000000001
32884,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14460,87.0,0.7441189,85.95295,0.24324320000000002
32885,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14464,82.0,0.1205085,80.96406999999999,0.47072070000000005
32886,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14482,86.0,0.6193969,84.95518,0.2837838
32887,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14485,63.0,-2.249211,62.00631,0.9752252
32888,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14487,77.0,-0.5031019,75.97518000000001,0.7477477
32889,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14512,85.0,0.4946747,83.9574,0.3333333
32890,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14537,90.0,1.118285,88.94628,0.09234234
32891,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14544,83.0,0.2452306,81.96185,0.4459459
32892,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14545,85.0,0.4946747,83.9574,0.3355856
32893,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14557,85.0,0.4946747,83.9574,0.33783779999999997
32894,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14558,85.0,0.4946747,83.9574,0.3400901
32895,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14560,88.0,0.868841,86.95073000000001,0.1801802
32896,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14573,89.0,0.9935630999999999,87.9485,0.1441441
32897,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14581,82.0,0.1205085,80.96406999999999,0.472973
32898,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14582,79.0,-0.2536578,77.97074,0.6621621999999999
32899,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14590,75.0,-0.7525460999999999,73.97963,0.8130630999999999
32900,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14593,80.0,-0.1289357,78.96851,0.5945946
32901,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14597,78.0,-0.3783798,76.97296,0.6914414000000001
32902,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14604,61.0,-2.498655,60.01076,0.9842341999999998
32903,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14610,81.0,-0.004213584,79.96629,0.5518018
32904,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14624,77.0,-0.5031019,75.97518000000001,0.75
32905,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14628,91.0,1.243007,89.94406,0.07432432
32906,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14643,80.0,-0.1289357,78.96851,0.5923423000000001
32907,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14645,81.0,-0.004213584,79.96629,0.5495495
32908,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14646,63.0,-2.249211,62.00631,0.972973
32909,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14648,90.0,1.118285,88.94628,0.09009009
33181,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14653,82.0,0.1205085,80.96406999999999,0.47972970000000004
33182,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14656,83.0,0.2452306,81.96185,0.44369369999999997
33183,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14676,87.0,0.7441189,85.95295,0.23873870000000003
33184,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14679,87.0,0.7441189,85.95295,0.24099099999999998
33185,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14695,82.0,0.1205085,80.96406999999999,0.4752252
33186,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14726,89.0,0.9935630999999999,87.9485,0.14639639999999998
33187,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14737,73.0,-1.00199,71.98408,0.8558559000000001
33188,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14739,84.0,0.3699527,82.95962,0.3783784
33189,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14741,85.0,0.4946747,83.9574,0.3423423
33190,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14749,82.0,0.1205085,80.96406999999999,0.47747749999999994
33191,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14758,85.0,0.4946747,83.9574,0.33108109999999996
33192,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14769,87.0,0.7441189,85.95295,0.2364865
33193,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14776,86.0,0.6193969,84.95518,0.286036
33194,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14782,85.0,0.4946747,83.9574,0.3288288
33195,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14788,91.0,1.243007,89.94406,0.07207207
33196,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14815,94.0,1.617174,92.93739000000001,0.03153153
33197,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14827,92.0,1.3677290000000002,90.94183000000001,0.0518018
33198,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14829,76.0,-0.6278239999999999,74.97740999999999,0.7747748000000001
33199,140128,289,2017学年度第一学期期末总评,8.0,地理,2017-2018-1,5,2018/1/23 00:00:00,14865,86.0,0.6193969,84.95518,0.2882883
33200,140076,289,2017学年度第一学期期末总评,17.0,政治,2017-2018-1,5,2018/1/23 00:00:00,14460,82.0,0.18241770000000002,81.45934,0.4481982
33201,140076,289,2017学年度第一学期期末总评,17.0,政治,2017-2018-1,5,2018/1/23 00:00:00,14464,88.0,1.0319989999999999,88.256,0.1441441
33202,140076,289,2017学年度第一学期期末总评,17.0,政治,2017-2018-1,5,2018/1/23 00:00:00,14482,83.0,0.3240146,82.59212,0.41891890000000004
33203,140076,289,2017学年度第一学期期末总评,17.0,政治,2017-2018-1,5,2018/1/23 00:00:00,14485,70.0,-1.516746,67.86604,0.9279279
33204,140076,289,2017学年度第一学期期末总评,17.0,政治,2017-2018-1,5,2018/1/23 00:00:00,14487,78.0,-0.3839701,76.92824,0.6599099
33205,140076,289,2017学年度第一学期期末总评,17.0,政治,2017-2018-1,5,2018/1/23 00:00:00,14512,85.0,0.6072085,84.85767,0.31531529999999997
33206,140076,289,2017学年度第一学期期末总评,17.0,政治,2017-2018-1,5,2018/1/23 00:00:00,14537,88.0,1.0319989999999999,88.256,0.14639639999999998
33207,140076,289,2017学年度第一学期期末总评,17.0,政治,2017-2018-1,5,2018/1/23 00:00:00,14544,77.0,-0.5255671,75.79545999999999,0.7252251999999999
33208,140076,289,2017学年度第一学期期末总评,17.0,政治,2017-2018-1,5,2018/1/23 00:00:00,14545,87.0,0.8904023999999999,87.12321999999999,0.2004505
33209,140076,289,2017学年度第一学期期末总评,17.0,政治,2017-2018-1,5,2018/1/23 00:00:00,14557,80.0,-0.1007762,79.19379,0.5653153000000001
33210,140076,289,2017学年度第一学期期末总评,17.0,政治,2017-2018-1,5,2018/1/23 00:00:00,14558,83.0,0.3240146,82.59212,0.4144144
33211,140076,289,2017学年度第一学期期末总评,17.0,政治,2017-2018-1,5,2018/1/23 00:00:00,14560,91.0,1.45679,91.65432,0.04504504
33212,140076,289,2017学年度第一学期期末总评,17.0,政治,2017-2018-1,5,2018/1/23 00:00:00,14573,82.0,0.18241770000000002,81.45934,0.45045050000000003
33213,140076,289,2017学年度第一学期期末总评,17.0,政治,2017-2018-1,5,2018/1/23 00:00:00,14581,89.0,1.1735959999999999,89.38877,0.1058559
33214,140076,289,2017学年度第一学期期末总评,17.0,政治,2017-2018-1,5,2018/1/23 00:00:00,14582,79.0,-0.2423732,78.06101,0.6216216
33215,140076,289,2017学年度第一学期期末总评,17.0,政治,2017-2018-1,5,2018/1/23 00:00:00,14590,71.0,-1.375149,68.99880999999999,0.9076576999999999
33216,140076,289,2017学年度第一学期期末总评,17.0,政治,2017-2018-1,5,2018/1/23 00:00:00,14593,87.0,0.8904023999999999,87.12321999999999,0.2027027
33217,140076,289,2017学年度第一学期期末总评,17.0,政治,2017-2018-1,5,2018/1/23 00:00:00,14597,83.0,0.3240146,82.59212,0.41666670000000006
33218,140076,289,2017学年度第一学期期末总评,17.0,政治,2017-2018-1,5,2018/1/23 00:00:00,14604,74.0,-0.9503579,72.39714000000001,0.8355855999999999
33219,140076,289,2017学年度第一学期期末总评,17.0,政治,2017-2018-1,5,2018/1/23 00:00:00,14610,88.0,1.0319989999999999,88.256,0.14864860000000002
33220,140076,289,2017学年度第一学期期末总评,17.0,政治,2017-2018-1,5,2018/1/23 00:00:00,14624,84.0,0.4656116,83.72489,0.3468468
33221,140076,289,2017学年度第一学期期末总评,17.0,政治,2017-2018-1,5,2018/1/23 00:00:00,14628,93.0,1.739984,93.91988,0.02252252
33222,140076,289,2017学年度第一学期期末总评,17.0,政治,2017-2018-1,5,2018/1/23 00:00:00,14643,78.0,-0.3839701,76.92824,0.6576576999999999
33223,140076,289,2017学年度第一学期期末总评,17.0,政治,2017-2018-1,5,2018/1/23 00:00:00,14645,89.0,1.1735959999999999,89.38877,0.1036036
33224,140076,289,2017学年度第一学期期末总评,17.0,政治,2017-2018-1,5,2018/1/23 00:00:00,14646,71.0,-1.375149,68.99880999999999,0.9099099
33225,140076,289,2017学年度第一学期期末总评,17.0,政治,2017-2018-1,5,2018/1/23 00:00:00,14648,87.0,0.8904023999999999,87.12321999999999,0.19819820000000002
