,exam_numname,mes_sub_id,mes_sub_name,exam_term,exam_type,exam_sdate,mes_StudentID,mes_Score,mes_Z_Score,mes_T_Score,mes_dengdi,bf_StudentID,cla_Name,cla_id
0,2018-1学期期中考试,5.0,化学,2018-2019-1,2,2018/11/5 00:00:00,14501,85.0,1.25205,90.0164,0.10810810000000001,14501,白-高二(01),901
1,2018-1学期期中考试,2.0,数学,2018-2019-1,2,2018/11/5 00:00:00,15720,83.0,0.5641779,84.51342,0.3290323,15720,东-高一(05),930
2,2018-1学期期中考试,3.0,英语,2018-2019-1,2,2018/11/5 00:00:00,15849,79.5,-0.6693701999999999,74.64503,0.7730060999999999,15849,东-高一(01),926
3,2018-1学期期中考试,3.0,英语,2018-2019-1,2,2018/11/5 00:00:00,15859,81.5,-0.3458496,77.2332,0.6503068000000001,15859,东-高一(01),926
4,2018-1学期期中考试,4.0,物理,2018-2019-1,2,2018/11/5 00:00:00,15755,77.0,0.02365024,80.1892,0.4662577,15755,东-高一(01),926
5,2018-1学期期中考试,3.0,英语,2018-2019-1,2,2018/11/5 00:00:00,15658,94.5,1.775339,94.20271,0.006451613,15658,东-高一(05),930
6,2018-1学期期中考试,4.0,物理,2018-2019-1,2,2018/11/5 00:00:00,15479,83.0,-0.49863,76.01096,0.7354839,15479,白-高一(05),938
7,2018-1学期期中考试,4.0,物理,2018-2019-1,2,2018/11/5 00:00:00,15705,82.0,0.49377079999999995,83.95016,0.2883435,15705,东-高一(02),927
8,2018-1学期期中考试,4.0,物理,2018-2019-1,2,2018/11/5 00:00:00,15711,100.0,2.1862049999999997,97.48964000000001,0.0061349690000000005,15711,东-高一(02),927
9,2018-1学期期中考试,4.0,物理,2018-2019-1,2,2018/11/5 00:00:00,15712,80.0,0.30572259999999996,82.44578,0.38036809999999993,15712,东-高一(02),927
10,2018-1学期期中考试,4.0,物理,2018-2019-1,2,2018/11/5 00:00:00,15719,67.0,-0.9165909,72.66727,0.8098159,15719,东-高一(02),927
11,2018-1学期期中考试,4.0,物理,2018-2019-1,2,2018/11/5 00:00:00,15724,95.0,1.716084,93.72868000000001,0.04907975,15724,东-高一(02),927
12,2018-1学期期中考试,4.0,物理,2018-2019-1,2,2018/11/5 00:00:00,15741,96.0,1.8101080000000003,94.48087,0.03067485,15741,东-高一(02),927
13,2018-1学期期中考试,4.0,物理,2018-2019-1,2,2018/11/5 00:00:00,15745,85.0,0.7758431,86.20674,0.2269939,15745,东-高一(02),927
14,2018-1学期期中考试,4.0,物理,2018-2019-1,2,2018/11/5 00:00:00,15759,77.0,0.02365024,80.1892,0.45398770000000005,15759,东-高一(02),927
15,2018-1学期期中考试,4.0,物理,2018-2019-1,2,2018/11/5 00:00:00,15765,85.0,0.7758431,86.20674,0.2208589,15765,东-高一(02),927
16,2018-1学期期中考试,4.0,物理,2018-2019-1,2,2018/11/5 00:00:00,15781,92.0,1.434012,91.47209000000001,0.08588957,15781,东-高一(02),927
17,2018-1学期期中考试,4.0,物理,2018-2019-1,2,2018/11/5 00:00:00,15789,85.0,0.7758431,86.20674,0.208589,15789,东-高一(02),927
18,2018-1学期期中考试,4.0,物理,2018-2019-1,2,2018/11/5 00:00:00,15792,96.0,1.8101080000000003,94.48087,0.03680982,15792,东-高一(02),927
19,2018-1学期期中考试,4.0,物理,2018-2019-1,2,2018/11/5 00:00:00,15798,85.0,0.7758431,86.20674,0.2147239,15798,东-高一(02),927
20,2018-1学期期中考试,4.0,物理,2018-2019-1,2,2018/11/5 00:00:00,15809,64.0,-1.1986629999999998,70.4107,0.8711655999999999,15809,东-高一(02),927
21,2018-1学期期中考试,17.0,政治,2018-2019-1,2,2018/11/5 00:00:00,15499,73.0,0.6310986,85.04879,0.2576687,15499,白-高一(01),934
22,2018-1学期期中考试,17.0,政治,2018-2019-1,2,2018/11/5 00:00:00,15605,75.5,0.9250101999999999,87.40009,0.1840491,15605,白-高一(01),934
23,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,15533,68.0,-0.9094222,72.72462,0.8220859,15533,白-高一(02),935
24,2018-1学期期中考试,2.0,数学,2018-2019-1,2,2018/11/5 00:00:00,15476,45.0,-3.037348,55.701209999999996,0.9956988999999999,15476,白-高一(05),938
25,2018-1学期期中考试,6.0,生物,2018-2019-1,2,2018/11/5 00:00:00,14481,67.0,-2.6482930000000002,58.81366,1.0,14481,白-高二(01),901
26,2018-1学期期中考试,6.0,生物,2018-2019-1,2,2018/11/5 00:00:00,14483,80.0,-0.7062114,74.35031,0.7727273,14483,白-高二(01),901
27,2018-1学期期中考试,3.0,英语,2018-2019-1,2,2018/11/5 00:00:00,15621,77.0,-0.2017817,78.38575,0.6322581,15621,白-高一(05),938
28,2018-1学期期中考试,3.0,英语,2018-2019-1,2,2018/11/5 00:00:00,16100,83.5,0.5325773,84.26061999999999,0.3204301,16100,白-高一(05),938
29,2018-1学期期中考试,4.0,物理,2018-2019-1,2,2018/11/5 00:00:00,15512,89.0,0.1917808,81.53425,0.483871,15512,白-高一(05),938
30,2018-1学期期中考试,6.0,生物,2018-2019-1,2,2018/11/5 00:00:00,14488,85.0,0.04074297,80.32594,0.5454545999999999,14488,白-高二(01),901
31,2018-1学期期中考试,6.0,生物,2018-2019-1,2,2018/11/5 00:00:00,14489,88.0,0.4889156,83.91131999999999,0.34090909999999996,14489,白-高二(01),901
32,2018-1学期期中考试,6.0,生物,2018-2019-1,2,2018/11/5 00:00:00,14491,81.0,-0.5568206,75.54543000000001,0.75,14491,白-高二(01),901
33,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14024,93.5,-0.2034356,78.37250999999999,0.6108375,14024,高三(01),921
